V240001,version,V243001,V243002,V243050,V243051,V243052,V243053,V243054,V243060,V243061,V243062,V243063,V245001,V245010
140001,ANES2024TimeSeries_20250808,OK,NA,20240812,200133,20240812,223951,.,20250116,153457,20250122,144420,-1. Inapplicable,-1. Inapplicable
140002,ANES2024TimeSeries_20250808,ID,NA,20240818,174753,20240818,192616,.,20241119,141236,20241119,141248,-1. Inapplicable,-1. Inapplicable
140003,ANES2024TimeSeries_20250808,VA,NA,20240809,130237,20240809,155157,.,20241114,082604,20241114,082613,-1. Inapplicable,-1. Inapplicable
140004,ANES2024TimeSeries_20250808,CA,NA,20240815,191526,20240815,200618,.,20241121,214201,20241121,223121,-1. Inapplicable,-1. Inapplicable
140005,ANES2024TimeSeries_20250808,CO,NA,20240814,173901,20240814,181901,.,20241123,170405,20241123,174132,-1. Inapplicable,-1. Inapplicable
140006,ANES2024TimeSeries_20250808,TX,NA,20241017,163231,20241017,180001,.,20250215,161618,20250215,174443,-1. Inapplicable,-1. Inapplicable
140007,ANES2024TimeSeries_20250808,WI,NA,20240808,200335,20240808,214646,.,20241114,234810,20241114,234822,-1. Inapplicable,-1. Inapplicable
140008,ANES2024TimeSeries_20250808,MS,NA,20240817,125837,20240817,191157,.,20241120,122319,20241120,122341,-1. Inapplicable,-1. Inapplicable
140010,ANES2024TimeSeries_20250808,CA,NA,20240902,090524,20241011,045032,.,20250115,172653,20250121,152326,-1. Inapplicable,-1. Inapplicable
140011,ANES2024TimeSeries_20250808,MD,NA,20240819,234024,20240929,215836,.,20241113,203915,20241113,203929,-1. Inapplicable,-1. Inapplicable
140012,ANES2024TimeSeries_20250808,WI,NA,20240824,161818,20240824,170812,.,20250214,090604,20250214,104753,-1. Inapplicable,-1. Inapplicable
140013,ANES2024TimeSeries_20250808,OR,NA,20240820,113600,20240820,121628,.,20241119,150627,20241119,150645,-1. Inapplicable,-1. Inapplicable
140014,ANES2024TimeSeries_20250808,VA,NA,20240816,223446,20240816,235341,.,20241113,214552,20241113,214600,-1. Inapplicable,-1. Inapplicable
140016,ANES2024TimeSeries_20250808,NV,NA,20240815,155945,20240815,171416,.,20241224,111544,20241224,123926,-1. Inapplicable,-1. Inapplicable
140017,ANES2024TimeSeries_20250808,MA,NA,20240911,105451,20240911,115217,.,20241126,114322,20241126,123213,-1. Inapplicable,-1. Inapplicable
140018,ANES2024TimeSeries_20250808,NH,NA,20241009,112948,20241009,132457,.,20250205,132217,20250205,142944,-1. Inapplicable,-1. Inapplicable
140019,ANES2024TimeSeries_20250808,NV,NA,20240819,163912,20240819,195910,.,20241115,165552,20241115,165621,-1. Inapplicable,-1. Inapplicable
140021,ANES2024TimeSeries_20250808,PA,NA,20240828,063535,20240828,072154,.,20241125,081048,20241125,084851,-1. Inapplicable,-1. Inapplicable
140023,ANES2024TimeSeries_20250808,NY,NA,20240813,181932,20240813,194634,.,20241114,165425,20241114,165431,-1. Inapplicable,-1. Inapplicable
140026,ANES2024TimeSeries_20250808,GA,NA,20240816,115809,20240816,211039,.,20241209,000509,20241209,013452,-1. Inapplicable,-1. Inapplicable
140027,ANES2024TimeSeries_20250808,NC,NA,20241013,174344,20241013,190541,.,20241121,143402,20241121,155847,-1. Inapplicable,-1. Inapplicable
140028,ANES2024TimeSeries_20250808,VA,NA,20240814,151916,20240814,161345,.,20241120,153105,20241120,153124,-1. Inapplicable,-1. Inapplicable
140029,ANES2024TimeSeries_20250808,NY,NA,20240812,155334,20240812,164339,.,20241119,104137,20241119,104150,-1. Inapplicable,-1. Inapplicable
140030,ANES2024TimeSeries_20250808,AZ,NA,20240815,012656,20240816,155735,.,20241127,152943,20241231,113344,-1. Inapplicable,-1. Inapplicable
140032,ANES2024TimeSeries_20250808,CO,NA,20240808,234031,20240809,002458,.,20241113,223646,20241113,223700,-1. Inapplicable,-1. Inapplicable
140033,ANES2024TimeSeries_20250808,ID,NA,20240817,142338,20240817,164426,.,20241114,212941,20241114,213315,-1. Inapplicable,-1. Inapplicable
140034,ANES2024TimeSeries_20250808,WI,NA,20240817,130240,20240817,135125,.,20241123,145121,20241123,154406,-1. Inapplicable,-1. Inapplicable
140035,ANES2024TimeSeries_20250808,NY,NA,20240818,174436,20240818,183426,.,20241124,113555,20241124,122329,-1. Inapplicable,-1. Inapplicable
140037,ANES2024TimeSeries_20250808,IL,NA,20240813,000458,20240816,195501,.,20250118,131730,20250118,145416,-1. Inapplicable,-1. Inapplicable
140038,ANES2024TimeSeries_20250808,OH,NA,20240808,185432,20240808,193716,.,20241113,221035,20241113,221040,-1. Inapplicable,-1. Inapplicable
140039,ANES2024TimeSeries_20250808,AR,NA,20240814,152136,20240814,161239,.,20241119,135949,20241119,140002,-1. Inapplicable,-1. Inapplicable
140040,ANES2024TimeSeries_20250808,GA,NA,20240819,095833,20240819,125222,.,20241204,095455,20241204,121950,-1. Inapplicable,-1. Inapplicable
