case_id,text,variable_code,question
140002,libertarian,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
140019,Non-Partisan,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
140169,part republican part independent depending on who is running,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
140519,libertarian,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
141468,Consrvative,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
141552,Conservative,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
141572,libertarian,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
204458,Working Families,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
222066,green,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
225699,Libertarian,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
234351,Libertarian,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
235139,"I do not know, I think Democratic",V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
236396,Libertarian,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
236431,peace and freedom party,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
238371,Green,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
321345,Conservative,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
321795,libertarian,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
336173,Libertarian,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
359839,Working Families Party,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
400905,libertarian,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
401181,LIB,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
401267,Conservative,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
401287,Conservative,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
401372,Libertarian,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
401405,non-partisan,V241025,PRE: PARTY OF REGISTRATION {OTHER/SPECIFY}
141294,Chris MacPherson,V241039z,PRE: FOR WHOM DID R VOTE FOR PRESIDENT OTHER {SPECIFY}
141560,Biden,V241039z,PRE: FOR WHOM DID R VOTE FOR PRESIDENT OTHER {SPECIFY}
142455,Biden,V241039z,PRE: FOR WHOM DID R VOTE FOR PRESIDENT OTHER {SPECIFY}
311324,Libertarian,V241039z,PRE: FOR WHOM DID R VOTE FOR PRESIDENT OTHER {SPECIFY}
343288,Peter Sonski,V241039z,PRE: FOR WHOM DID R VOTE FOR PRESIDENT OTHER {SPECIFY}
378683,Joe Biden,V241039z,PRE: FOR WHOM DID R VOTE FOR PRESIDENT OTHER {SPECIFY}
140210,ion kno,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
140217,Chase Oliver,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
140243,undecided.  Will write-in Nikki Haley if State approved,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
140597,Not yet decided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
140643,"writBERNIE;West,Stein,RFK Jr.-who's4ArmsEmbar2Israel?Harris?",V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
140680,undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
140789,not sure yet,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
