case_id,pre_like_dem_candidate,pre_dislike_dem_candidate,pre_like_rep_candidate,pre_dislike_rep_candidate,pre_like_dem_party,pre_dislike_dem_party,pre_like_rep_party,pre_dislike_rep_party,post_mip_mention_1,post_mip_mention_2,post_mip_mention_3,post_mip_most_important
140003,She is a woman who advocates for reproductive rights and will defend our democracy from the far right.,NA,NA,I disagree with him on literally EVERYTHING. He is totally incompetent and is not a fit candidate for president.,"Advocacy for reproductive rights, LGBTQ rights, generally progressive policies",Not wielding their power effectively,NA,Everything on their agenda is repellent to me. Their disregard for a woman's right to privacy and to govern her own body is abhorrent. [CHAR(10)]Their desire to keep lowering taxes and protect the wealthy instead of forcing the riches among us to pay their fair share is irresponsible and immoral.[CHAR(10)],threats to democracy,reproductive freedom,Christian nationalism,threats to democracy
140006,She is a proven leader who cares about this country and democracy,NA,NA,He is a criminal douche bag and in no way qualified for any office in this country,"They care about this country, citizens and democracy",NA,NA,They are cult followers who care about one man rather than the country.  they are all weak and a disgrace like scared rabbits,Donald trump and elon musk,Maga cult followers,All newly appointed cabinet members,Donald trump
140012,She seems to be a good person with decent morals and values,NA,NA,He is a horrible person,They care more about people than money,NA,NA,"they are all about money, and making sure the rich get richer","Hatred toward LGT,  Communities, and deportations, lack of care about education, healthcare and insurance costs",insurance and healthcare costs,deportation of birthright citizens,Heathcare and insurance costs
140014,She is the best candidate on the ballot.,NA,NA,Everything that he is and that he represents.,A an inclusive vision for the future,Lack of transparency and chaos,NA,Everything as it has become the Trump party lacking a conscious.,"lack of proper education, climate change, racism, etc.","gun violence, mental health crisis, border insecurity, economic hardship, etc.","inequality, corruption, and immigration reform",bipartisanship and ability for democrats and republicans to work together for the good of the country.
140017,"Strong record as a prosecutor in California, especially in regards to crime and consumer protection.",NA,NA,"His attitude towards women, minorities, as well as his hate speech and continued attacks against democracy and decency.","Position on women rights, improving health care in the country (accessibility)",lack of movement on immigration.,NA,"their positions on women's healthcare, election fraud claims, plans to strip social security, as well as remove EPA, dept of education.",the dismantling of government by maga,woman/lgbtq rights being removed,war in Ukraine,government disjunction
140018,"logical, work with both parties, try to find solutions to real problems",NA,NA,"everything. he is unqualified, self centered, and does not care about the average us citizen",looking out for all Americans. not greedy and trying to just cater to the rich,sometimes they can be too liberal and spend irresponsibly,trying to be fiscally responsible,"greed, cater to the rich, single-minded view of who is a real American",income inequality,foreign policy,rights for all us citizens,income inequality
140019,"Ms. Harris supports abortion rights. Should a Supreme Court opening occur, she would nominate a more open minded justice to the bench. She would do what is best for the country versus what is best for her herself. She nominated someone who is a much better vice presidential choice than the other candidate. I liked that she was an attorney general versus a billionaire. She has a better position on gun control then the other candidate.",NA,NA,He is concerned only with self interest versus what is best for the country. He is dishonest and makes up facts to suit his own position. He hurt our world standing with other countries and seems to only support authoritarian leaders. He enacted tax cuts that primarily only benefit the rich. He only appoints people who will agree with him otherwise they get fired. He is a threat to our Democratic institutions.,They would do a better job of governing and compromising with the other party to get things done.,NA,they generally support lower taxes.,Way too ideological.,"Inflation, deficit spending, poor judicial appointments, shoring up Medicare and social security, Rx costs.",#1 is inflation.,Illegal immigration.,Inflation and the economy.
140023,"She is not over 80 years old, and she seems to want to continue the tradition of voting, unlike her electoral opponent.",NA,NA,"Fascist rhetoric and overall tendencies, a (unpunished!) coup attempt in 2020, mismanagement of the Covid-19 pandemic, raising taxes on the lower and middle classes, general criminal activity and past, encouraging belligerent foreign leaders to act against the United States, undermining the allies and international standing of the United States, escalation of conflict with Iran through the assassination of one of their generals, terminating the Iran Nuclear Deal, terminating the Pan-Pacific Partnership agreement without demanding concessions from China, spending exorbitant amounts of taxpayer money on personal expenses, exposing the identities of foreign intelligence assets leading to their deaths, theft of documents from the White House, consistent racist and bigoted rhetoric, and also, I'm just tired of seeing his stupid f**king face on my television and smartphone. Make it stop.","While their policies are not all productive or something I agree with, they check off more boxes and if we only have two choices, they are clearly the better one.","General spinelessness and kowtowing to corporate interests, the military-industrial complex, and genociders, but honestly, this is not the focus of my political attention at the moment so it is tough to fully answer this question. Ask me after the election.",NA,"Backwards/unproductive stances and policies for crime, prisons, schools, retirement, environmental regulations, taxation, abortion and reproductive rights, an independent and unbiased judiciary, erosion of long-standing norms for nomination of Supreme Court justices, xenophobic rhetoric, advocacy on behalf of hostile foreign governments, advocacy on behalf of hostile domestic institutions and corporations, and almost everything else except Ukraine aid, and even then it's lukewarm.","Economic Inequality, Impending climate catastrophe, Fascism, Imperialism, the Military-Industrial Complex, Big Tech, Big Pharma, Foreign Influence, Radicalization of Federal Judges/The Supreme Court, Declining standard of living and dollar value, Selling out of future generations to fund Social Security and other Retirement programs from which we will never reap the benefits, Invasive Species, Wildfires, Christian Nationalism, and MORE!",Elon Musk is a fascist,Water Conservation,Income Inequality
140026,She sticks to facts and is in favor of programs for working people,NA,NA,Everything! all of what he says is repulsive and untrue,SK,NA,NA,They have abandoned truth and honesty in favor of a cult following,"Disconnect between Ultra conservative"" lawmakers and the people they are supposed to represent""",The so-called 2015 adjenda. Does not represent the needs of most Americans,Lack of connection between elected officials and the people who put them in office,SK
140029,"Not Trump, Not Biden",NA,NA,"Threat to Democracy, Liar, Narcissistic Autocrat",NA,Shifting too far left of center,NA,Total loss of a conservative identity with a cult of Trump,"Threat to democracy, Climate change, Conflict in Ukraine/  Middle-east / Sudan / sub-saharan Africa",Divisiveness in the country,xenophobia in America,climate change
140030,not to take away women's rights,NA,NA,i feel like he shouldn't be able to run for president because of his civil charges,NA,NA,NA,NA,"health insurance, social security and education",being divided as country cuz of racism,SK,health insurance for veterans elderly and cancer patients
140033,"she's smart, driven, articulate, understands social issues, advocates for women's right to choose, cares for the environment and recognizes HUMAN caused climate change, advocates for low and middle class workers, recognizes the many inequalities in the US, pragmatic about the war in Gaza, she understands US history,",NA,NA,"he is simply mentally unfit to be President, he's mentally incompetent, has no reverence for democracy, women's rights, he disrespects those in military service, is a cheater, a liar, he does not know his U.S history, he exhibits treasonous acts by siding or flattering adversaries to US (Putin and Kim Jong), he puts his own interests before the country, is a hypocrite, a bigot, sympathizes with white supremacists, is racist, and does not care about the environment","freedom of choice, reverence for scientific institutions, social equality, rights of citizens over big corporations, social justice, willingness to implement pro climate policies","some social programs too generous, welfare system should be adjusted to account for eligible workers, we need tighter border restrictions, and student loan forgiveness too generous and not fair for those who paid off their loans at expense of delaying starting a family or buying a home",NA,"the Republican party has become more extreme with their agenda proposing anti LGBTQ laws and book bans, the GOP is anti-science, too restrictive of woman's rights, white nationalism and infusion of religious doctrine is entering into government, the GOP is becoming too isolationist by waning support of Ukraine and NATO, and they are in complete denial of human caused climate change","With the re nomination of Pres. elect Trump, we, as a Republic, are veering towards an autocracy",loss of global dominance and respect,climate change and the resulting catastrophic weather related events,electing a president with no regard for science and dismissal of the realities CLIMATE CHANGE with impact all Americans whether Democrat or Republican
140035,I like that her group of advisors are younger,NA,NA,He's a narcissistic con man,support of individual liberties,the extreme left,at least historically. fiscal responsibility,way too many right wing extremists,"polarization, inability to compromise for the common good",Big business has too much control of government,SK,Polarization
140037,SK,NA,NA,NA,THEY CARE ABOUT THE PEOPLE'S INSTEAD OF THEIR POCKETS BEING FILED UP.,NA,NA,THEY DO NOT CARE ABOUT THE LEAST OF PEOPLE'S NEEDS IN THIS SOCIETY,health issues so many people are living below the acceptable line of property value,houseless issues,mental help issues,anything dealing with the economy lack of concern
140038,"Knowledgable and experienced for the position, major policy goals align with mine (gun control, foreign policy, abortion), I like that she is a woman and a POC","Condescending, potential warhawk, potentially disconnected from middle american voters like me.",NA,"Foreign policy is a disaster, economic policy is a disaster, project 2025 is terrifying","Will let me cling on to some rights that I enjoy like womens equal rights, LGBTQ+ rights. Maybe gun control. Maybe nationalized health care. These are possibilities.","Inept at winning elections, passing policy, and at communicating with their base. Interested in preserving USA hegemony and will use military resources to do so. Won't do enough to curb major issues in american politics stemming from current campaign finance structures and laws around lobbying. Won't do enough economically to lessen growing weath inequity.",NA,"Traditional values"" aka transphobia, homophobia, misogyny. Belief in deregulation of the market. Cutting taxes for billionaires. Anti-abortion. Locally in Ohio, very interested in consolidating power by any means necessary incl. gerrymandering districts. """,far right ideology,Wealth inequality,Money in politics,Far-right ideology
140039,her genuine desire to do good for her country - also her broad experience in government and her sense of morality,NA,NA,"he is unhinged, mean spirited and a danger to democracy","support for a woman's right to choose, for a social safety net, for freedom of choice in reading materials, for gay rights, for transgender care, for universal health care - to start with",NA,NA,"abortion stance, book bans, anti- transgender people, anti-gay, anti-immigrant, lack of support for a social safety net - to name a few","A second Trump presidency coupled with control of the Senate, the House of Representatives and the Supreme Court.","climate change, access to women's health including the choice to have an abortion, the huge disparity in income between the rich and the poor, the lack of a safety net for the economically disadvantaged.",environment and maintaining clean air and a healthy food supply to start,dealing with a second Trump presidency
140048,"moderate, intelligent, reasonable",NA,NA,"crazy, unethical, embarrassing, fascist, unhinged",NA,"unorganized, not effective",NA,"morally bankrupt, follow crazy politicians",as a country we are not taking the risk of global warming seriously enough.  we are not doing enough.,I believe that republicans will attempt to subvert democracy more and more going forward.,Poor schooling - our kids are falling behind the rest of the world,Climate change
