id,part_id,typ_human,category
1001903,108,10,Mystery
1001903,493,51,Mystery
1001903,489,66,Mystery
1001903,421,73,Mystery
1001903,311,68,Mystery
1001903,309,52,Mystery
1001903,307,15,Mystery
1001903,234,10,Mystery
1001903,180,56,Mystery
1001903,148,65,Mystery
1001903,72,68,Mystery
1001903,22,56,Mystery
1003182,374,5,Other
1003182,345,10,Other
1003182,330,3,Other
1003182,91,9,Other
1003182,211,0,Other
1003182,185,0,Other
1003182,463,88,Other
1003182,268,0,Other
1003182,48,0,Other
1010741,18,29,Mystery
1010741,109,34,Mystery
1010741,47,98,Mystery
1010741,440,67,Mystery
1010741,418,79,Mystery
1010741,342,71,Mystery
1010741,460,100,Mystery
1010741,237,100,Mystery
1010741,231,75,Mystery
1010741,153,98,Mystery
1010741,150,64,Mystery
1010741,313,100,Mystery
10152705,79,0,Other
10152705,414,0,Other
10152705,406,51,Other
10152705,363,0,Other
10152705,230,5,Other
10152705,225,50,Other
10152705,139,24,Other
10152705,80,1,Other
10152705,316,14,Other
10152705,2,86,Other
10189195,469,97,Mystery
10189195,40,75,Mystery
10189195,157,100,Mystery
10189195,212,88,Mystery
10189195,262,84,Mystery
10189195,287,75,Mystery
10189195,308,33,Mystery
10189195,339,100,Mystery
10189195,351,11,Mystery
1026690,197,0,Mystery
1026690,303,34,Mystery
1026690,343,70,Mystery
1026690,392,10,Mystery
1026690,99,14,Mystery
1026690,456,42,Mystery
1026690,81,55,Mystery
1026690,128,9,Mystery
1026690,405,15,Mystery
1026690,33,0,Mystery
1034004,60,23,Other
1034004,6,0,Other
1034004,254,0,Other
1034004,250,8,Other
1034004,203,12,Other
1034004,269,38,Other
1034004,297,0,Other
1034004,387,7,Other
1034004,240,1,Other
1034004,187,0,Other
10427537,458,96,Mystery
10427537,416,97,Mystery
10427537,335,73,Mystery
10427537,317,100,Mystery
10427537,239,95,Mystery
10427537,192,66,Mystery
10427537,176,100,Mystery
10427537,146,91,Mystery
10427537,104,90,Mystery
10427537,35,100,Mystery
10427537,69,100,Mystery
10427537,412,66,Mystery
10466545,389,0,Other
10466545,426,0,Other
10466545,255,0,Other
10466545,76,17,Other
10466545,121,28,Other
10466545,432,74,Other
10466545,373,80,Other
10466545,36,16,Other
10466545,190,0,Other
10466545,341,0,Other
1054154,374,67,Mystery
